Identificador do Aluno,Nome do Aluno,Idade,Gênero,Ano Escolar,Você pratica xadrez regularmente?,Há quanto tempo você joga xadrez?,Qual foi sua média geral nas últimas três avaliações escolares?,Qual foi sua nota na última prova de Matemática?,Qual foi sua nota na última prova de Língua Portuguesa?
0606,Vivian Almeida,8,Feminino,3º Ano,Não,Nunca,6.07,8.32,7.93
0607,Fernando Martins,8,Masculino,3º Ano,Não,Nunca,9.27,8.49,7.23
0608,Natália Silva,11,Feminino,6º Ano,Não,Nunca,7.96,5.77,8.89
0609,Fernando Júnior,16,Masculino,6º Ano,Sim,mais de 1 ano,5.35,5.98,6.24
0610,Gabriela Silva,10,Feminino,5º Ano,Não,Nunca,8.48,6.19,7.48
0611,Patrícia Queiroz,10,Feminino,5º Ano,Sim,mais de 1 ano,9.04,5.47,5.19
0612,Carla Nogueira,7,Feminino,2º Ano,Não,Nunca,7.63,6.36,6.37
0613,Natália Lima,10,Feminino,5º Ano,Sim,Nunca,6.06,6.58,6.42
0614,João Ibarra,16,Masculino,6º Ano,Não,Nunca,7.35,6.9,8.23
0615,Elisa Júnior,11,Feminino,6º Ano,Sim,mais de 1 ano,8.19,8.93,5.72
0616,Sofia Pereira,13,Feminino,8º Ano,Não,Nunca,6.41,9.75,6.16
0617,Sofia Júnior,18,Feminino,8º Ano,Não,Nunca,8.78,6.4,5.49
0618,Henrique Silva,12,Masculino,7º Ano,Não,Nunca,9.29,7.81,7.34
0619,Patrícia Teixeira,14,Feminino,9º Ano,Não,Nunca,6.77,7.24,6.68
0620,Isabela Lima,13,Feminino,8º Ano,Não,Nunca,8.96,8.17,8.75
0621,Tiago Dias,10,Masculino,5º Ano,Não,Nunca,5.06,6.38,6.71
0622,Fernando Ibarra,18,Masculino,8º Ano,Sim,Nunca,7.22,5.25,6.16
0623,Patrícia Oliveira,18,Feminino,8º Ano,Não,Nunca,7.39,6.93,8.44
0624,João Ramos,17,Masculino,7º Ano,Não,Nunca,7.41,6.26,8.38
0625,Isabela Teixeira,17,Feminino,7º Ano,Sim,Nunca,6.88,9.88,9.09
0626,João Lima,6,Masculino,1º Ano,Não,Nunca,9.81,9.02,7.65
0627,Tiago Júnior,7,Masculino,2º Ano,Sim,mais de 1 ano,8.6,8.59,9.91
0628,Tiago Júnior,15,Masculino,10º Ano,Não,Nunca,6.91,5.6,6.58
0629,Elisa Pereira,15,Feminino,10º Ano,Não,Nunca,6.62,9.24,6.5
0630,Laura Zanetti,18,Feminino,8º Ano,Não,Nunca,6.37,7.15,5.59
0631,Gabriela Vieira,7,Feminino,2º Ano,Não,Nunca,6.98,8.44,6.17
0632,Marcos Costa,7,Masculino,2º Ano,Não,Nunca,5.68,6.57,8.65
0633,Carla Zanetti,18,Feminino,8º Ano,Sim,mais de 1 ano,9.6,9.26,6.35
0634,Marcos Barbosa,11,Masculino,6º Ano,Não,Nunca,8.35,7.37,7.63
0635,Diego Gomes,13,Masculino,8º Ano,Não,Nunca,7.17,8.13,9.38
0636,Laura Fernandes,11,Feminino,6º Ano,Não,Nunca,5.08,5.59,9.97
0637,Fernando Queiroz,16,Masculino,6º Ano,Sim,mais de 1 ano,8.45,5.59,6.75
0638,Carla Fernandes,14,Feminino,9º Ano,Não,Nunca,7.68,9.05,6.69
0639,Isabela Pereira,13,Feminino,8º Ano,Não,Nunca,6.47,8.8,9.05
0640,Carla Costa,6,Feminino,1º Ano,Sim,mais de 1 ano,6.29,7.89,6.49
0641,Natália Pereira,6,Feminino,1º Ano,Não,Nunca,5.6,6.15,5.45
0642,Ana Teixeira,12,Feminino,7º Ano,Não,Nunca,6.28,9.12,5.89
0643,Rafael Fernandes,7,Masculino,2º Ano,Não,Nunca,9.42,5.2,8.22
0644,Henrique Martins,17,Masculino,7º Ano,Não,Nunca,8.93,7.84,6.95
0645,Henrique Oliveira,8,Masculino,3º Ano,Não,Nunca,6.9,5.04,9.15
0646,João Nogueira,13,Masculino,8º Ano,Sim,mais de 1 ano,5.3,8.44,8.33
0647,Fernando Dias,15,Masculino,10º Ano,Sim,Nunca,5.58,5.86,8.84
0648,Bruno Júnior,14,Masculino,9º Ano,Não,Nunca,7.63,9.72,5.71
0649,Elisa Pereira,14,Feminino,9º Ano,Não,Nunca,9.87,9.89,8.91
0650,Elisa Vieira,6,Feminino,1º Ano,Não,Nunca,6.89,7.76,7.95
0651,Tiago Pereira,18,Masculino,8º Ano,Não,Nunca,9.87,9.89,8.98
0652,Rafael Vieira,15,Masculino,10º Ano,Não,Nunca,7.92,5.46,6.34
0653,Tiago Vieira,13,Masculino,8º Ano,Sim,mais de 1 ano,9.58,7.46,6.02
0654,Isabela Oliveira,7,Feminino,2º Ano,Sim,mais de 1 ano,5.61,5.05,8.7
0655,Diego Costa,10,Masculino,5º Ano,Não,Nunca,9.56,8.35,6.37
0656,Carla Almeida,18,Feminino,8º Ano,Não,Nunca,7.26,7.63,5.85
0657,Ana Gomes,8,Feminino,3º Ano,Não,Nunca,7.78,7.95,6.43
0658,Bruno Queiroz,10,Masculino,5º Ano,Sim,Nunca,5.27,5.17,7.79
0659,Ana Pereira,18,Feminino,8º Ano,Não,Nunca,9.93,6.05,8.17
0660,Gabriela Júnior,10,Feminino,5º Ano,Não,Nunca,6.02,5.67,5.63
0661,Tiago Vieira,10,Masculino,5º Ano,Não,Nunca,6.75,8.02,5.9
0662,Elisa Vieira,16,Feminino,6º Ano,Não,Nunca,5.44,9.44,6.92
0663,Vivian Nogueira,10,Feminino,5º Ano,Não,Nunca,7.65,9.44,9.08
0664,Zeca Oliveira,17,Masculino,7º Ano,Não,Nunca,7.4,6.37,8.13
0665,João Oliveira,14,Masculino,9º Ano,Sim,mais de 1 ano,6.79,7.01,7.49
0666,Ana Barbosa,17,Feminino,7º Ano,Não,Nunca,5.97,9.11,9.62
0667,Ana Lima,18,Feminino,8º Ano,Não,Nunca,6.52,5.12,7.6
0668,Zeca Ibarra,16,Masculino,6º Ano,Não,Nunca,7.48,6.53,5.57
0669,Carla Vieira,16,Feminino,6º Ano,Não,Nunca,6.54,6.56,8.74
0670,Zeca Teixeira,13,Masculino,8º Ano,Não,Nunca,8.3,7.08,6.5
0671,Natália Zanetti,8,Feminino,3º Ano,Sim,mais de 1 ano,6.37,9.93,8.34
0672,João Teixeira,15,Masculino,10º Ano,Não,Nunca,6.38,5.22,7.83
0673,Tiago Júnior,13,Masculino,8º Ano,Não,Nunca,6.32,9.34,7.87
0674,Marcos Costa,9,Masculino,4º Ano,Não,Nunca,6.52,7.48,6.82
0675,Marcos Fernandes,6,Masculino,1º Ano,Sim,Nunca,9.12,7.38,6.89
0676,Natália Teixeira,11,Feminino,6º Ano,Não,Nunca,9.92,6.34,6.18
0677,Isabela Lima,12,Feminino,7º Ano,Não,Nunca,9.37,7.19,7.2
0678,Marcos Barbosa,14,Masculino,9º Ano,Não,Nunca,8.52,6.74,6.43
0679,Rafael Almeida,9,Masculino,4º Ano,Não,Nunca,7.0,6.06,5.76
0680,Vivian Pereira,14,Feminino,9º Ano,Não,Nunca,5.58,6.4,7.95
0681,Otávio Fernandes,13,Masculino,8º Ano,Não,Nunca,9.64,6.48,9.13
0682,Isabela Gomes,12,Feminino,7º Ano,Não,Nunca,6.57,7.46,6.8
0683,João Ramos,7,Masculino,2º Ano,Não,Nunca,6.23,5.95,5.78
0684,Vivian Oliveira,6,Feminino,1º Ano,Não,Nunca,6.87,6.18,5.6
0685,Laura Vieira,13,Feminino,8º Ano,Não,Nunca,6.86,5.42,6.83
0686,Ana Pereira,11,Feminino,6º Ano,Não,Nunca,5.04,7.58,5.76
0687,Rafael Vieira,16,Masculino,6º Ano,Não,Nunca,8.29,8.76,6.78
0688,Tiago Silva,11,Masculino,6º Ano,Não,Nunca,5.37,9.54,5.48
0689,Diego Barbosa,12,Masculino,7º Ano,Não,Nunca,5.62,8.58,9.5
0690,Isabela Pereira,17,Feminino,7º Ano,Sim,mais de 1 ano,7.38,6.51,5.79
0691,Natália Oliveira,9,Feminino,4º Ano,Não,Nunca,6.0,6.77,9.26
0692,Otávio Nogueira,6,Masculino,1º Ano,Não,Nunca,6.06,7.23,7.24
0693,Sofia Dias,9,Feminino,4º Ano,Não,Nunca,6.25,6.0,9.77
0694,Natália Zanetti,18,Feminino,8º Ano,Não,Nunca,8.77,9.07,7.33
0695,Diego Dias,9,Masculino,4º Ano,Sim,Nunca,6.66,8.76,8.31
0696,Vivian Nogueira,16,Feminino,6º Ano,Não,Nunca,5.23,7.89,5.92
0697,Bruno Queiroz,16,Masculino,6º Ano,Não,Nunca,6.98,5.81,5.85
0698,Tiago Silva,14,Masculino,9º Ano,Não,Nunca,8.86,9.2,8.91
0699,Tiago Dias,7,Masculino,2º Ano,Sim,mais de 1 ano,6.67,9.76,5.62
0700,Ana Costa,15,Feminino,10º Ano,Não,Nunca,5.78,8.85,8.03
0701,João Barbosa,14,Masculino,9º Ano,Não,Nunca,9.4,5.55,5.03
0702,Fernando Lima,6,Masculino,1º Ano,Não,Nunca,7.23,7.73,8.5
0703,Henrique Ibarra,9,Masculino,4º Ano,Não,Nunca,7.33,8.63,6.62
0704,Zeca Queiroz,7,Masculino,2º Ano,Não,Nunca,7.29,8.61,7.02
0705,Carla Júnior,16,Feminino,6º Ano,Não,Nunca,6.21,9.22,6.87
0706,Elisa Oliveira,15,Feminino,10º Ano,Não,Nunca,5.97,8.12,9.49
0707,Sofia Queiroz,8,Feminino,3º Ano,Não,Nunca,9.29,7.26,9.01
0708,Isabela Ramos,10,Feminino,5º Ano,Não,Nunca,9.42,5.38,8.51
0709,Henrique Ibarra,11,Masculino,6º Ano,Sim,Nunca,8.3,6.83,7.65
0710,Bruno Martins,8,Masculino,3º Ano,Não,Nunca,5.62,5.81,8.48
0711,Sofia Martins,13,Feminino,8º Ano,Não,Nunca,6.48,8.18,9.79
0712,Otávio Júnior,7,Masculino,2º Ano,Não,Nunca,8.64,7.81,8.22
0713,Fernando Fernandes,7,Masculino,2º Ano,Não,Nunca,8.72,6.94,6.28
0714,Elisa Almeida,16,Feminino,6º Ano,Não,Nunca,9.49,7.62,5.47
0715,João Martins,15,Masculino,10º Ano,Não,Nunca,6.79,6.97,6.33
0716,Bruno Queiroz,13,Masculino,8º Ano,Não,Nunca,8.04,6.0,9.77
0717,Marcos Fernandes,10,Masculino,5º Ano,Não,Nunca,7.68,5.27,5.22
0718,Isabela Costa,7,Feminino,2º Ano,Sim,Nunca,7.03,8.67,7.4
0719,João Ramos,17,Masculino,7º Ano,Não,Nunca,8.54,6.77,9.23
0720,Natália Dias,7,Feminino,2º Ano,Não,Nunca,9.84,5.53,7.09
0721,Tiago Oliveira,11,Masculino,6º Ano,Não,Nunca,6.5,6.15,8.24
0722,Vivian Ibarra,13,Feminino,8º Ano,Não,Nunca,5.34,5.1,8.83
0723,Marcos Lima,13,Masculino,8º Ano,Não,Nunca,6.02,6.46,5.33
0724,Ana Nogueira,14,Feminino,9º Ano,Não,Nunca,8.85,9.04,9.46
0725,Fernando Silva,15,Masculino,10º Ano,Sim,Nunca,8.19,7.51,5.2
0726,Bruno Ibarra,12,Masculino,7º Ano,Não,Nunca,9.68,9.91,9.61
0727,Carla Costa,6,Feminino,1º Ano,Não,Nunca,7.37,8.18,7.43
0728,Otávio Henrique,9,Masculino,4º Ano,Não,Nunca,6.14,8.26,6.16
0729,Otávio Henrique,10,Masculino,5º Ano,Não,Nunca,8.03,8.9,9.72
0730,Elisa Costa,11,Feminino,6º Ano,Não,Nunca,5.12,6.37,6.35
0731,Sofia Lima,6,Feminino,1º Ano,Não,Nunca,9.31,8.63,5.5
0732,Bruno Pereira,9,Masculino,4º Ano,Sim,mais de 1 ano,9.79,7.46,8.27
0733,Isabela Fernandes,11,Feminino,6º Ano,Não,Nunca,9.59,9.85,7.69
0734,Natália Fernandes,14,Feminino,9º Ano,Não,Nunca,7.03,6.32,6.37
0735,Otávio Henrique,11,Masculino,6º Ano,Sim,Nunca,5.79,7.24,7.43
0736,Rafael Martins,15,Masculino,10º Ano,Não,Nunca,5.56,5.35,5.19
0737,Tiago Gomes,8,Masculino,3º Ano,Não,Nunca,8.82,7.57,8.25
0738,Patrícia Teixeira,8,Feminino,3º Ano,Sim,mais de 1 ano,5.05,9.01,9.21
0739,Isabela Lima,8,Feminino,3º Ano,Não,Nunca,8.41,9.59,6.74
0740,João Silva,6,Masculino,1º Ano,Sim,mais de 1 ano,6.58,9.45,8.58
0741,Elisa Henrique,18,Feminino,8º Ano,Não,Nunca,7.07,9.36,6.64
0742,Bruno Henrique,13,Masculino,8º Ano,Sim,Nunca,8.65,7.57,6.87
0743,Vivian Henrique,10,Feminino,5º Ano,Não,Nunca,8.61,6.52,8.58
0744,João Martins,11,Masculino,6º Ano,Não,Nunca,7.54,6.9,9.19
0745,Patrícia Júnior,12,Feminino,7º Ano,Sim,mais de 1 ano,7.03,9.77,7.2
0746,Diego Zanetti,17,Masculino,7º Ano,Não,Nunca,7.61,6.38,8.08
0747,João Queiroz,15,Masculino,10º Ano,Não,Nunca,8.06,5.55,9.52
0748,João Vieira,8,Masculino,3º Ano,Não,Nunca,7.49,7.28,6.38
0749,Diego Zanetti,10,Masculino,5º Ano,Não,Nunca,6.57,5.72,5.54
0750,Ana Fernandes,16,Feminino,6º Ano,Sim,Nunca,7.63,9.0,9.22
0751,Gabriela Dias,8,Feminino,3º Ano,Não,Nunca,6.63,5.01,5.49
0752,Bruno Pereira,8,Masculino,3º Ano,Não,Nunca,8.92,8.06,7.13
0753,Sofia Júnior,9,Feminino,4º Ano,Não,Nunca,8.48,5.64,6.25
0754,Isabela Ibarra,14,Feminino,9º Ano,Não,Nunca,5.37,7.62,5.81
0755,Otávio Ramos,18,Masculino,8º Ano,Não,Nunca,5.76,7.97,6.74
0756,Bruno Henrique,7,Masculino,2º Ano,Não,Nunca,5.12,7.12,9.35
0757,João Teixeira,16,Masculino,6º Ano,Não,Nunca,5.78,9.23,5.17
0758,Fernando Ramos,8,Masculino,3º Ano,Não,Nunca,5.09,5.19,5.36
0759,Tiago Silva,13,Masculino,8º Ano,Não,Nunca,5.3,6.01,8.47
0760,Vivian Queiroz,17,Feminino,7º Ano,Não,Nunca,6.19,5.62,5.78
0761,Zeca Queiroz,15,Masculino,10º Ano,Não,Nunca,9.77,9.74,7.57
0762,Tiago Vieira,9,Masculino,4º Ano,Não,Nunca,5.08,9.11,6.63
0763,Fernando Ibarra,18,Masculino,8º Ano,Não,Nunca,9.37,5.86,9.62
0764,Natália Júnior,9,Feminino,4º Ano,Não,Nunca,5.02,9.51,6.81
0765,Henrique Ibarra,16,Masculino,6º Ano,Sim,mais de 1 ano,8.43,7.08,5.02
0766,Diego Fernandes,7,Masculino,2º Ano,Não,Nunca,8.92,5.37,6.69
0767,Fernando Oliveira,6,Masculino,1º Ano,Não,Nunca,8.87,5.36,9.95
0768,Carla Barbosa,9,Feminino,4º Ano,Não,Nunca,9.63,7.47,7.48
0769,Elisa Gomes,6,Feminino,1º Ano,Não,Nunca,7.08,8.63,9.39
0770,Vivian Zanetti,17,Feminino,7º Ano,Não,Nunca,8.02,5.34,9.11
0771,Elisa Fernandes,17,Feminino,7º Ano,Não,Nunca,7.63,7.0,9.12
0772,Bruno Queiroz,15,Masculino,10º Ano,Não,Nunca,7.55,9.05,8.53
0773,Marcos Costa,11,Masculino,6º Ano,Não,Nunca,5.75,8.74,6.99
0774,Vivian Ramos,8,Feminino,3º Ano,Não,Nunca,5.24,9.6,5.03
0775,Laura Costa,15,Feminino,10º Ano,Não,Nunca,6.65,9.49,7.71
0776,Bruno Nogueira,16,Masculino,6º Ano,Não,Nunca,9.09,9.67,7.16
0777,Isabela Teixeira,15,Feminino,10º Ano,Não,Nunca,7.79,9.2,8.63
0778,Patrícia Costa,12,Feminino,7º Ano,Não,Nunca,6.88,8.29,5.95
0779,Zeca Almeida,18,Masculino,8º Ano,Não,Nunca,5.68,8.71,7.36
0780,Elisa Zanetti,7,Feminino,2º Ano,Sim,mais de 1 ano,6.6,9.81,8.27
0781,Elisa Martins,8,Feminino,3º Ano,Não,Nunca,5.07,8.34,9.97
0782,Tiago Queiroz,11,Masculino,6º Ano,Não,Nunca,6.39,8.79,5.71
0783,Gabriela Silva,9,Feminino,4º Ano,Não,Nunca,6.11,5.71,5.72
0784,Sofia Henrique,12,Feminino,7º Ano,Não,Nunca,8.9,7.19,9.14
0785,Patrícia Fernandes,13,Feminino,8º Ano,Não,Nunca,9.05,5.04,8.18
0786,Sofia Queiroz,14,Feminino,9º Ano,Sim,Nunca,7.02,8.0,8.73
0787,Tiago Nogueira,13,Masculino,8º Ano,Não,Nunca,8.56,7.94,8.92
0788,Henrique Henrique,14,Masculino,9º Ano,Não,Nunca,9.12,6.41,5.52
0789,Marcos Ibarra,9,Masculino,4º Ano,Não,Nunca,6.14,7.36,6.63
0790,Fernando Ibarra,7,Masculino,2º Ano,Sim,mais de 1 ano,5.28,5.75,7.42
0791,Natália Martins,7,Feminino,2º Ano,Não,Nunca,5.96,5.7,9.25
0792,Isabela Barbosa,11,Feminino,6º Ano,Não,Nunca,8.51,6.4,7.08
0793,Isabela Teixeira,9,Feminino,4º Ano,Sim,Nunca,8.71,9.66,7.75
0794,Marcos Queiroz,16,Masculino,6º Ano,Não,Nunca,5.17,5.6,9.07
0795,Natália Costa,13,Feminino,8º Ano,Sim,Nunca,6.87,5.89,9.33
0796,Zeca Oliveira,11,Masculino,6º Ano,Não,Nunca,9.25,9.61,8.48
0797,Laura Martins,10,Feminino,5º Ano,Não,Nunca,9.91,9.59,5.2
0798,Henrique Teixeira,13,Masculino,8º Ano,Não,Nunca,8.09,5.52,8.87
0799,Henrique Zanetti,8,Masculino,3º Ano,Não,Nunca,8.76,8.0,8.59
0800,Carla Zanetti,7,Feminino,2º Ano,Não,Nunca,7.71,7.28,8.93
0801,Laura Lima,8,Feminino,3º Ano,Não,Nunca,6.49,8.79,7.5
0802,João Silva,14,Masculino,9º Ano,Sim,Nunca,8.43,7.13,5.12
0803,Patrícia Júnior,16,Feminino,6º Ano,Não,Nunca,5.45,9.93,8.82
0804,Patrícia Gomes,15,Feminino,10º Ano,Não,Nunca,9.45,5.27,7.92
0805,Carla Vieira,10,Feminino,5º Ano,Sim,Nunca,8.21,7.37,8.21
0806,Gabriela Henrique,16,Feminino,6º Ano,Não,Nunca,5.66,5.11,9.19
0807,João Almeida,17,Masculino,7º Ano,Não,Nunca,7.27,5.15,7.67
0808,João Nogueira,9,Masculino,4º Ano,Sim,Nunca,9.9,5.14,8.68
0809,Sofia Barbosa,14,Feminino,9º Ano,Não,Nunca,7.15,9.86,9.6
0810,Diego Barbosa,10,Masculino,5º Ano,Não,Nunca,8.12,6.69,8.06
0811,Patrícia Silva,10,Feminino,5º Ano,Não,Nunca,6.21,7.84,7.9
0812,Vivian Barbosa,18,Feminino,8º Ano,Não,Nunca,9.44,9.16,8.13
0813,Otávio Costa,15,Masculino,10º Ano,Não,Nunca,8.44,7.62,8.29
0814,Elisa Gomes,10,Feminino,5º Ano,Não,Nunca,9.26,8.55,9.34
0815,Tiago Barbosa,12,Masculino,7º Ano,Sim,mais de 1 ano,7.95,7.53,5.32
0816,Diego Queiroz,18,Masculino,8º Ano,Não,Nunca,5.7,7.03,7.77
0817,Rafael Henrique,16,Masculino,6º Ano,Não,Nunca,5.09,8.29,5.23
0818,Laura Silva,8,Feminino,3º Ano,Sim,mais de 1 ano,7.94,8.45,8.17
0819,Carla Martins,6,Feminino,1º Ano,Não,Nunca,7.98,8.26,5.85
0820,Gabriela Dias,6,Feminino,1º Ano,Não,Nunca,8.74,5.78,8.59
0821,Laura Barbosa,18,Feminino,8º Ano,Não,Nunca,7.9,5.77,9.82
0822,Diego Vieira,6,Masculino,1º Ano,Não,Nunca,9.35,5.87,9.26
0823,Gabriela Costa,6,Feminino,1º Ano,Não,Nunca,9.13,7.86,5.92
0824,Zeca Queiroz,12,Masculino,7º Ano,Não,Nunca,8.53,7.46,5.52
0825,Patrícia Zanetti,10,Feminino,5º Ano,Não,Nunca,9.54,5.78,6.28
0826,Sofia Lima,17,Feminino,7º Ano,Não,Nunca,6.02,8.46,6.71
0827,Sofia Silva,7,Feminino,2º Ano,Não,Nunca,7.08,5.28,7.82
0828,Ana Silva,15,Feminino,10º Ano,Não,Nunca,7.29,5.03,8.03
0829,Carla Costa,12,Feminino,7º Ano,Não,Nunca,5.83,9.34,7.03
0830,Ana Oliveira,6,Feminino,1º Ano,Sim,mais de 1 ano,5.38,7.84,7.53
0831,Zeca Vieira,16,Masculino,6º Ano,Não,Nunca,5.9,8.03,8.24
0832,Otávio Silva,8,Masculino,3º Ano,Sim,mais de 1 ano,9.21,8.72,7.22
0833,Vivian Ibarra,17,Feminino,7º Ano,Não,Nunca,9.4,5.86,7.54
0834,Diego Pereira,18,Masculino,8º Ano,Não,Nunca,6.47,9.29,8.33
0835,Sofia Vieira,18,Feminino,8º Ano,Não,Nunca,6.93,8.78,7.94
0836,Marcos Ramos,11,Masculino,6º Ano,Sim,Nunca,7.66,9.74,8.36
0837,Ana Barbosa,8,Feminino,3º Ano,Não,Nunca,8.01,6.08,9.05
0838,Elisa Ibarra,11,Feminino,6º Ano,Não,Nunca,8.14,9.58,8.38
0839,Rafael Ramos,15,Masculino,10º Ano,Não,Nunca,9.65,8.19,6.83
0840,Diego Pereira,9,Masculino,4º Ano,Não,Nunca,7.18,7.14,8.38
0841,Ana Martins,18,Feminino,8º Ano,Não,Nunca,5.15,5.84,6.53
0842,Isabela Gomes,9,Feminino,4º Ano,Não,Nunca,6.15,9.16,9.31
0843,Isabela Dias,7,Feminino,2º Ano,Não,Nunca,8.93,8.81,6.96
0844,Zeca Oliveira,16,Masculino,6º Ano,Não,Nunca,5.14,8.06,9.05
0845,Patrícia Júnior,16,Feminino,6º Ano,Não,Nunca,6.37,8.18,6.79
0846,Ana Ramos,14,Feminino,9º Ano,Sim,mais de 1 ano,8.23,6.18,7.01
0847,Elisa Pereira,6,Feminino,1º Ano,Não,Nunca,7.31,7.51,6.33
0848,Zeca Nogueira,15,Masculino,10º Ano,Sim,mais de 1 ano,6.88,8.11,8.12
0849,Vivian Costa,18,Feminino,8º Ano,Não,Nunca,8.17,6.18,6.62
0850,Henrique Pereira,15,Masculino,10º Ano,Não,Nunca,6.22,5.4,8.28
0851,Tiago Almeida,6,Masculino,1º Ano,Não,Nunca,6.75,5.26,9.34
0852,Sofia Silva,11,Feminino,6º Ano,Não,Nunca,5.67,7.01,9.01
0853,Tiago Henrique,8,Masculino,3º Ano,Não,Nunca,8.84,8.77,6.32
0854,João Ramos,14,Masculino,9º Ano,Não,Nunca,9.61,5.96,8.22
0855,Zeca Oliveira,17,Masculino,7º Ano,Não,Nunca,7.83,9.3,5.1
0856,Isabela Queiroz,17,Feminino,7º Ano,Não,Nunca,5.22,8.3,6.45
0857,Sofia Queiroz,15,Feminino,10º Ano,Não,Nunca,6.72,9.16,8.73
0858,Gabriela Ibarra,11,Feminino,6º Ano,Sim,mais de 1 ano,7.26,7.19,6.72
0859,Henrique Lima,18,Masculino,8º Ano,Não,Nunca,5.55,6.64,7.05
0860,Isabela Zanetti,14,Feminino,9º Ano,Não,Nunca,9.16,9.97,5.26
0861,Isabela Gomes,8,Feminino,3º Ano,Não,Nunca,8.38,5.11,5.05
0862,Rafael Dias,17,Masculino,7º Ano,Sim,mais de 1 ano,9.76,7.89,6.62
0863,Laura Vieira,13,Feminino,8º Ano,Sim,Nunca,5.08,9.31,7.05
0864,Isabela Dias,15,Feminino,10º Ano,Não,Nunca,8.68,8.84,9.39
0865,Bruno Oliveira,16,Masculino,6º Ano,Não,Nunca,7.95,7.91,6.66
0866,Patrícia Pereira,7,Feminino,2º Ano,Não,Nunca,7.81,8.53,6.99
0867,Fernando Pereira,6,Masculino,1º Ano,Não,Nunca,7.73,8.35,8.36
0868,Bruno Queiroz,10,Masculino,5º Ano,Não,Nunca,5.81,9.78,5.34
0869,Sofia Costa,8,Feminino,3º Ano,Não,Nunca,6.84,6.59,7.27
0870,Rafael Lima,17,Masculino,7º Ano,Não,Nunca,6.99,8.26,5.28
0871,Zeca Gomes,15,Masculino,10º Ano,Não,Nunca,6.92,8.21,7.27
0872,Otávio Pereira,7,Masculino,2º Ano,Não,Nunca,7.14,5.57,8.31
0873,João Oliveira,18,Masculino,8º Ano,Não,Nunca,6.86,8.25,6.85
0874,Elisa Nogueira,18,Feminino,8º Ano,Não,Nunca,7.08,5.69,8.46
0875,Natália Júnior,15,Feminino,10º Ano,Não,Nunca,9.52,5.63,8.21
0876,Vivian Dias,14,Feminino,9º Ano,Não,Nunca,6.18,9.49,7.58
0877,Otávio Gomes,6,Masculino,1º Ano,Não,Nunca,7.47,5.55,9.46
0878,Laura Ramos,7,Feminino,2º Ano,Não,Nunca,5.07,9.44,8.0
0879,João Pereira,16,Masculino,6º Ano,Sim,mais de 1 ano,9.51,7.84,8.94
0880,João Almeida,14,Masculino,9º Ano,Não,Nunca,6.23,8.14,7.62
0881,Fernando Vieira,6,Masculino,1º Ano,Não,Nunca,8.41,6.07,9.24
0882,Laura Barbosa,10,Feminino,5º Ano,Não,Nunca,6.59,8.99,8.02
0883,Henrique Júnior,17,Masculino,7º Ano,Não,Nunca,7.36,7.55,7.17
0884,Sofia Almeida,14,Feminino,9º Ano,Não,Nunca,7.03,8.48,9.03
0885,Bruno Júnior,16,Masculino,6º Ano,Não,Nunca,8.29,7.44,5.65
0886,Isabela Fernandes,18,Feminino,8º Ano,Não,Nunca,6.73,6.77,5.78
0887,Isabela Ramos,7,Feminino,2º Ano,Não,Nunca,7.79,8.82,6.33
0888,Zeca Vieira,7,Masculino,2º Ano,Não,Nunca,8.14,8.44,8.35
0889,Marcos Júnior,9,Masculino,4º Ano,Não,Nunca,6.67,9.88,7.55
0890,Natália Silva,13,Feminino,8º Ano,Não,Nunca,8.35,9.98,5.29
0891,Zeca Fernandes,11,Masculino,6º Ano,Não,Nunca,7.03,7.75,6.87
0892,Tiago Barbosa,14,Masculino,9º Ano,Não,Nunca,6.38,7.63,8.5
0893,Diego Oliveira,12,Masculino,7º Ano,Não,Nunca,6.01,7.03,7.67
0894,Vivian Queiroz,6,Feminino,1º Ano,Não,Nunca,7.94,8.45,6.67
0895,Bruno Júnior,18,Masculino,8º Ano,Não,Nunca,7.73,5.27,6.62
0896,Laura Costa,8,Feminino,3º Ano,Não,Nunca,8.77,5.56,7.0
0897,Patrícia Vieira,12,Feminino,7º Ano,Não,Nunca,9.77,8.73,9.41
0898,Natália Dias,9,Feminino,4º Ano,Não,Nunca,5.61,5.93,9.98
0899,Patrícia Martins,12,Feminino,7º Ano,Não,Nunca,5.14,7.23,9.82
0900,Tiago Lima,10,Masculino,5º Ano,Não,Nunca,6.28,5.11,9.57
0901,Fernando Costa,11,Masculino,6º Ano,Não,Nunca,9.62,9.05,6.45
0902,Zeca Nogueira,11,Masculino,6º Ano,Não,Nunca,7.63,7.85,8.44
0903,Rafael Henrique,10,Masculino,5º Ano,Não,Nunca,7.65,9.78,6.87
0904,Isabela Henrique,10,Feminino,5º Ano,Sim,Nunca,8.0,6.35,9.81
0905,Isabela Júnior,9,Feminino,4º Ano,Não,Nunca,5.53,5.24,8.34
0906,Rafael Costa,7,Masculino,2º Ano,Não,Nunca,7.13,9.42,9.5
0907,Isabela Gomes,18,Feminino,8º Ano,Sim,Nunca,5.56,8.82,6.21
0908,Carla Gomes,14,Feminino,9º Ano,Não,Nunca,7.49,8.36,7.67
0909,Diego Teixeira,17,Masculino,7º Ano,Não,Nunca,6.04,7.45,8.64
0910,Carla Dias,8,Feminino,3º Ano,Não,Nunca,6.29,9.03,9.78
